"Find companies","legal_name","Normalize Company Name","company_name","Description","Primary Industry","Size","Type","hq_location","Country","domain","LinkedIn URL","Exports Status","Perplexity AI","Update People Search (Find people Table) - 2025-07-23T00:23:14.108Z","Update People Search (Find people Table) - 2025-07-23T05:01:32.416Z","Update People Search (Find people Table) - 2025-07-25T07:31:30.042Z"
,"Twelve","✅ Twelve","Twelve","We're Twelve, the carbon transformation company. We harness CO2 as a resource, transforming it into essential products like fuels, chemicals and materials. We're on a mission to advance industrial innovation and build a world made from air.","Chemical Manufacturing","201-500 employees","Privately Held",,"United States","twelve.co","https://www.linkedin.com/company/twelveco2","Unknown","Exports: Unknown  
Evidence: The available search results do not provide explicit information regarding whether Twelve (twelve.co) exports products or ships internationally. The company focuses on carbon transformation technology and produces eFuels and eChemicals, mentioning partnerships with global companies, but there is no direct reference to exporting or international shipping on their website or LinkedIn profile in the provided data[5]. Other search results referencing ""Twelve"" appear unrelated or concern different entities. Therefore, no clear evidence about Twelve's export activities was found in the accessible information.",,,
,"State Industrial Products","✅ State Industrial Products","State Industrial Products","State Industrial Products brings you the chemical products and maintenance solutions needed to keep the building operating at its peak. We develop, manufacture and distribute high-quality air care, cleaning, drain, warewash, water treatment, sewage maintenance, and sanitizing products for commercial and industrial marketplaces. State’s field service team ensures that every program in your facility is efficient, optimized, and reliable. 

State Chemical Solutions and State Cleaning Solutions are divisions of State Industrial Products.","Chemical Manufacturing","501-1,000 employees","Privately Held","Mayfield Hts, OH","United States","stateindustrial.com","https://www.linkedin.com/company/stateindustrialproducts","Unknown","Exports: Unknown  
Evidence: The available information from State Industrial Products' website and related sources describes their efficient domestic shipping operations and quick order turnaround but does not explicitly mention exporting products or international shipping capabilities[2]. Their LinkedIn profile and the website do not provide clear evidence of global distribution or shipments outside the United States. Without explicit statements or keywords such as ""exports,"" ""international shipping,"" or ""global customers,"" it is not possible to confirm if State Industrial Products exports or ships internationally based on the data found.",,,
,"ChemPoint","✅ ChemPoint","ChemPoint","At ChemPoint, we combine progressive technology and efficient business processes to accelerate the business of chemistry. We utilize the strengths of traditional distribution and build on this model by embracing technology  and innovation to improve the customer experience. 

We engage in exclusive product line relationships with premier manufacturers to provide personalized marketing, sales, and distribution services for more than 90 supplier partners for over 190 product lines globally.","Chemical Manufacturing","201-500 employees","Privately Held","Bellevue, Washington","United States","chempoint.com","https://www.linkedin.com/company/chempoint",,,,,
,"Toray Advanced Composites","✅ Toray Advanced Composites","Toray Advanced Composites","Toray Advanced Composites, formerly known as TenCate Advanced Composites, will continue the legacy of innovation, now with the strength of the Toray Group behind us to provide the ultimate value to our customers. Toray Advanced Composites will lead the market in development and manufacture of a broad range of advanced composite material solutions for aerospace, satellite, communications, and industrial markets. 

Toray Advanced Composites is dedicated to delighting customers with world class products, technical service and support, making your program a success.","Chemical Manufacturing","501-1,000 employees","Privately Held","Morgan Hill, California","United States","toraytac.com","https://www.linkedin.com/company/torayadvancedcomposites",,,,,
,"Solugen","✅ Solugen","Solugen","At Solugen, we believe planet-scale change starts with the chemistry we use every day. We’re revolutionizing how things are made with the world’s first carbon negative molecule factory: the Bioforge. Harnessing the power of evolved enzymes, plant-based feedstocks, and clean, catalytic reactions, we are making the materials we need to sustain life on Earth—faster, cheaper, and without emissions or waste.","Chemical Manufacturing","201-500 employees","Privately Held","Houston, Texas","United States","solugen.com","https://www.linkedin.com/company/solugen",,,,,
,"Ecovyst, Inc.","✅ Ecovyst","Ecovyst","Ecovyst is a pure-play catalyst and services company with over 200 years of history. We are accelerating the transition to a sustainability-driven future through our innovative products and services that address our customers' evolving business challenges, tightening global regulatory standards, and changing consumer preferences.

Our company operates through two complementary, leading business segments:
●	Ecoservices provides end-to-end sulfuric acid regeneration services and specialty-grade high-purity virgin sulfuric acid for diverse applications including mining, electronics, lead-acid batteries, water treatment, and agricultural products. Ecoservices regeneration services help avoid significant landfill or deep well disposal, contributing to a circular economy through the recycling of spent surfuric acid.

●	Advanced Materials & Catalysts develops and sells proprietary and custom engineered technologies for cleaner fuels, emissions control, and waste reduction. Our portfolio includes silica catalysts used by leading global polyethylene producers for durability and lightweighting, and zeolite catalysts for cleaner air applications and plastic recycling.

At Ecovyst, we focus on three key trends shaping our future:

 Increasing standards for manufacturers to reduce environmental footprints
 The shift to cleaner energy sources, particularly in transportation
 Growing urgency for plastic recycling solutions

Responsive—and fast-adapting to rapidly changing economic environments—Ecovyst supports customers with solutions that advance business growth and sustainability goals. Our technologies play a critical role in propelling business expansion for our customers. At Ecovyst, we are a catalyst for positive change.","Chemical Manufacturing","501-1,000 employees","Public Company","Wayne, Pennsylvania","United States","ecovyst.com","https://www.linkedin.com/company/ecovyst-inc",,,,,
,"TPC Group","✅ TPC","TPC","Headquartered in Houston, Texas, TPC Group is a leader in providing highly specialized lines of chemical products to major chemical and petroleum-based companies worldwide. 

As North America’s largest producer of finished butadiene and the largest producer of butene-1, companies around the globe rely on us as their dependable supplier for hydrocarbon processing and other specialty chemicals. We are the sole producer of chemical grade diisobutylene in North America and the second largest active merchant producer of high purity isobutylene in North America. Our products are sold to a wide range of performance, specialty and intermediate markets, including synthetic rubber, fuel additives, plastics and surfactants. Put simply, we make the products that go into making the world’s tires, carpets, gasoline additives and many other essential items used in our daily lives.

TPC Group operates manufacturing facilities in the industrial corridor adjacent to the Houston Ship Channel, the heart of the world’s largest chemical processing center. In addition, we operate a facility in Port Neches, Texas, as well as a product terminal in Lake Charles, Louisiana.

Sustainability
We will always serve the communities where we operate by creating value through environmental stewardship, social responsibility, and economic prosperity. These commitments are an integral part of our drive for sustainability because they help our employees achieve, our customers succeed, our shareholders prosper, and our communities thrive; they support everything that creates a livable and sustainable world.","Chemical Manufacturing","501-1,000 employees","Privately Held","Houston, Texas","United States","tpcgrp.com","https://www.linkedin.com/company/tpc-group",,,,,
,"Dymax","✅ Dymax","Dymax","Dymax develops innovative eco-friendly light-curable materials, dispense equipment, and UV/LED light-curing systems for OEMs. Our materials and equipment are perfectly matched to work seamlessly with each other, providing design engineers with tools to improve manufacturing efficiencies. Our expertise in light-curing technology allows us to provide customers with product and process design, testing, assessment, initial production runs, system integration services, and support for the life of their process. We serve major markets including aerospace and defense, energy, medical device and electronics.","Chemical Manufacturing","501-1,000 employees","Privately Held","Torrington, CT","United States","dymax.com","https://www.linkedin.com/company/dymax","Yes","Exports: Yes

Evidence: ""Dymax Corporation, an ISO 9001 certified, world-leading manufacturer of advanced light-curable adhesives, coatings, and sealants and light-curing equipment, was recognized by the U.S. Department of Commerce for its innovation and exportation to foreign companies. Foreign exports are driving Dymax’s growth and most of the company’s manufacturing and research and development jobs are related to their exports. In addition to their headquarters in Torrington, Dymax has locations in Germany, China, and Hong Kong which serve the assembly needs of the medical, electronic, optical, automotive, appliance, metal finishing, power generation, and industrial markets worldwide.""[1]

Further supporting data indicates Dymax is exported to over 51 countries worldwide, with Vietnam, Philippines, and Ecuador being principal importers[2]. Additional export shipment data from Hong Kong also confirms international distribution[3]. 

There is clear evidence that Dymax exports its products internationally and serves customers in multiple global markets.",,,
,"Chem-Trend","✅ Chem-Trend","Chem-Trend","Chem-Trend is a leader in delivering innovative, value-adding solutions that improve quality, reduce costs and boost productivity for molding and casting operations around the world. Our network of industry experts work onsite with customers and in our advanced laboratories to resolve manufacturing challenges. Our technology portfolio includes a wide variety of high-performance release agents and related processing aids used in the die casting, polyurethane, rubber, tire, composites, thermoplastics and wood composite industries. 

With offices and manufacturing sites in North America, South America, Asia and Europe, Chem-Trend is a local partner to customers wherever they do business. As a member of the Freudenberg Group, Chem-Trend can also leverage vast innovation, supply chain and financial resources to better serve industry. We embrace the group’s “Guiding Principles” to deliver exceptional value to our customers, lead our sustainable business practices and build a culture dedicated to ethical conduct and respect for our employees.","Chemical Manufacturing","501-1,000 employees","Privately Held","Howell, Michigan","United States","chemtrend.com","https://www.linkedin.com/company/chem-trend",,,,,
,"Xenon arc","✅ Xenon arc","Xenon arc","Xenon arc builds branded channels to market on behalf of specialty chemical and food ingredient producers. Rather than choose between your direct customer relationships or off-loading those to distribution, we give you the best of both options. Our model consists of a branded commercial team, a branded eCommerce site, lead management, and full distribution services.

We fill a critical gap in your channel strategy and enable you to maintain and grow your relationship with typically underserved customers, while off-loading the operational complexity and cost of servicing those customers.","Chemical Manufacturing","51-200 employees","Privately Held","Bellevue, Washington","United States","xenonarc.com","https://www.linkedin.com/company/xenon-arc",,,,,
